WORK_ORDER,ACTUAL_DECISION,RF_PRED,XGB_PRED,LR_PRED,HYBRID_OPTIMIZATION_DECISION,MODEL1_COPQ_RISK_SCORE,MODEL2_CC_OVERLOAD_PENALTY,MODEL3_BATCH_FLOW_FACTOR,MODEL4_ASSIGNMENT_RISK_FACTOR,OR_DECISION,DETERMINISTIC_DECISION,ROBUST_DECISION,PROB_RF_Hurda,PROB_XGB_Hurda,PROB_LR_Hurda,ENSEMBLE_PROB_Hurda,PROB_RF_Islah,PROB_XGB_Islah,PROB_LR_Islah,ENSEMBLE_PROB_Islah,PROB_RF_Kabul(OGK),PROB_XGB_Kabul(OGK),PROB_LR_Kabul(OGK),ENSEMBLE_PROB_Kabul(OGK),PROB_RF_RTV,PROB_XGB_RTV,PROB_LR_RTV,ENSEMBLE_PROB_RTV,PROB_RF_RU,PROB_XGB_RU,PROB_LR_RU,ENSEMBLE_PROB_RU,qa_confidence,qa_copq,qa_error_score,qa_final_label,qa_flag_high_risk,qa_flag_inconsistent,qa_min_prob,qa_prob_ratio,qa_quartile_rank,qa_second_best_prob,qa_variance,ANOMALY_FLAG,ANOMALY_SCORE,CLUSTER_ID,CLUSTER_DISTANCE,DISTANCE_FROM_RESULT_MIDDLE_POINT,OUT_OF_LIMITS
532007,Hurda,Hurda,Hurda,Islah,Kabul(OGK),0.0,-0.00021392407548536185,-0.15273312080062315,-0.7512239085175951,Hurda,Hurda,Hurda,0.4674774845328035,0.9558650975880318,0.10599155924165987,0.5097780471208317,0.13844251104053837,0.020108849072385474,0.3655689083532947,0.17470675615540618,0.12587327891429906,0.004913030721975891,0.11251649172673879,0.08110093378767125,0.13437290587616707,0.013018801978103097,0.2355096216980595,0.12763377651744323,0.13383381963619204,0.006094220639503644,0.1804134189802472,0.10678048641864764,0.5097780471208317,19.804439057583366,2.0,Hurda,0.0,1.0,0.08110093378767125,2.9179068877414847,1,0.17470675615540618,0.024933184524362672,0,-1.44398403299682,0,-0.308537264141877,0.8192575833884717,1
127388,RTV,RU,RU,Islah,Kabul(OGK),0.0,0.0004794801972261889,-0.14306197995644648,0.9480055404801131,RU,Hurda,RU,0.14893651090665688,0.008918259533708475,0.10222239280253331,0.08669238774763288,0.15988815963226066,0.01138414287021397,0.2532944351057523,0.14152224586940898,0.14933797072665714,0.008641236695084594,0.20271824481883552,0.12023248408019242,0.240274614551874,0.08911758156904007,0.2516591433879335,0.19368377983628252,0.3015627441825512,0.8819387793319529,0.19010578388494548,0.4578691024664832,0.4578691024664832,20.842617950670338,2.0,RU,0.0,1.0,0.08669238774763288,2.364003340153274,0,0.19368377983628252,0.017831497592506712,0,0.2553524142900463,1,-0.09762797300463857,-0.8960294277033807,1
130920,Islah,Islah,Islah,RTV,Kabul(OGK),0.0,0.0003557533167138226,-0.12871034668969572,0.9480055404801131,Islah,Hurda,Islah,0.13188032216603968,0.013640812837956791,0.1443436861388601,0.09662160704761885,0.5022582468269349,0.9578501154476972,0.25192864645618346,0.5706790029102718,0.05133436544890408,0.0012744573401802985,0.18316132727344134,0.0785900500208419,0.14367804683171007,0.010028513324715374,0.25785831345435367,0.13718829120359302,0.1708490187264112,0.017206101049450372,0.16270802667716147,0.11692104881767434,0.5706790029102718,18.586419941794563,2.0,Islah,0.0,1.0,0.0785900500208419,4.159822955031643,2,0.13718829120359302,0.03473556283467836,0,1.3476147621265642,2,-0.03505131543147854,0.3560428496614955,1
946075,RTV,RTV,RTV,Kabul(OGK),Kabul(OGK),0.0,-0.0009923129329147782,-0.15264955269112476,0.9480055404801131,RTV,Hurda,RTV,0.12178481810832176,0.00926235270339392,0.1824319400778918,0.10449303696320249,0.18545834589519344,0.019263840291045248,0.16730431911093382,0.12400883509905751,0.081507117038748,0.008981156602046193,0.2885366589938522,0.1263416442115488,0.5238782156279734,0.9549757709132768,0.1926726866583937,0.5571755577332146,0.08737150332976336,0.007516879490237844,0.16905439515892848,0.08798092599297656,0.5571755577332146,18.856488845335708,2.0,RTV,0.0,1.0,0.08798092599297656,4.410070497422603,2,0.1263416442115488,0.03208888849847928,0,0.46924624831497885,1,-0.3481229022186283,-1.2314029346647082,1
559477,Kabul(OGK),RTV,RTV,RU,Kabul(OGK),0.0,-0.0010553956972072492,-0.10346931848156504,-0.05367456994151047,RTV,Hurda,RTV,0.0742282762563326,0.004413886533345109,0.09761477731338968,0.05875231336768913,0.23192388884556828,0.04459206460077421,0.16913106618168897,0.14854900654267714,0.21293745276659887,0.019468885232420165,0.19420577143613652,0.14220403647838517,0.2792522520560796,0.895083918854565,0.24509095697896036,0.47314237596320163,0.20165813007542063,0.03644124477889555,0.2939574280898245,0.1773522676480469,0.47314237596320163,20.53715248073597,2.0,RTV,0.0,1.0,0.05875231336768913,2.66781125630796,0,0.1773522676480469,0.020211632886725096,0,0.6092094029990623,1,-0.7502089797000916,-1.1164800470866645,1
824901,Islah,Islah,Islah,Kabul(OGK),Kabul(OGK),0.0,-0.001012788374278855,-0.14665145163187782,0.9480055404801131,Islah,Hurda,Islah,0.10971227226592248,0.008396318730507403,0.21410482965254327,0.11073780688299105,0.5288417416824306,0.9591512838393329,0.17185748652038704,0.5532835040140501,0.11188283897220852,0.008343015416704347,0.2752867316453293,0.1318375286780807,0.12208905354383093,0.011435720547707466,0.15738893300798448,0.09697123569984097,0.12747409353560749,0.01267366146574783,0.18136201917375588,0.10716992472503706,0.5532835040140501,18.934329919718998,2.0,Islah,0.0,1.0,0.09697123569984097,4.1967071861992435,2,0.1318375286780807,0.03133108899479761,0,0.04728264454291539,0,-0.5230036767997898,0.7850323730732587,1
705595,Islah,Islah,Islah,Islah,Kabul(OGK),0.0,-0.0004799667765350092,-0.11458555201295229,1.7203449675609301,Islah,Hurda,Islah,0.1627413087051379,0.11771185214173463,0.2203824815463437,0.1669452141310721,0.29201700771108746,0.29160005505979186,0.24041894660405874,0.274678669791646,0.1614707358958114,0.17956193192814138,0.1630723093209775,0.16803499238164343,0.1884253956894331,0.14303087017754176,0.21204348542481374,0.18116658376392955,0.1953455519985302,0.26809529069279037,0.16408277710380628,0.20917453993170895,0.274678669791646,24.506426604167082,2.5,Islah,1.0,0.0,0.1669452141310721,1.3131553671939364,0,0.20917453993170895,0.001626030810562315,0,0.046914104170393454,2,-0.03833883289660734,-0.36771968612197975,1
734539,Hurda,RU,Hurda,Islah,Kabul(OGK),0.0,-0.0010713619402484506,-0.14320159872741448,-0.668619663173431,Islah,Hurda,Islah,0.15530263830206673,0.3338723132927371,0.07224973789928361,0.1871415631646958,0.22569057185710503,0.3044048204361674,0.25215317731868037,0.26074952320398426,0.15150714476174648,0.07573720699940313,0.2279746329030086,0.1517396615547194,0.19684673712657966,0.0962401167118532,0.20986249067075563,0.16764978150306284,0.27065290795250224,0.18974554255983916,0.2377599612082718,0.23271947057353773,0.26074952320398426,24.785009535920317,3.5,Islah,1.0,1.0,0.1517396615547194,1.1204456703230132,0,0.23271947057353773,0.0016604009251248268,0,0.0892896335382787,1,-1.48155487942076,-1.333071941777547,1
391364,Hurda,Hurda,Hurda,RTV,Kabul(OGK),0.0,-0.0005326967895759806,-0.11649339340235368,-0.7512239085175951,Hurda,Hurda,Hurda,0.5387883058907745,0.961749994465674,0.1638359848962883,0.5547914284175789,0.08581979768758319,0.003963660300208882,0.2108078749745428,0.10019711098744495,0.08210305910607203,0.0030313051566388154,0.1329784554357235,0.07270427323281145,0.09421961030558505,0.007894730830785898,0.25418073132884084,0.1187650241550706,0.19906922700998528,0.02336030924669239,0.2381969533646046,0.1535421632070941,0.5547914284175789,18.90417143164842,2.0,Hurda,0.0,1.0,0.07270427323281145,3.613283913873801,2,0.1535421632070941,0.03215984565740553,0,-0.8754294169887498,1,1.5119252706841433,-1.9328519754877749,1
748655,Kabul(OGK),RTV,RTV,Islah,Kabul(OGK),0.0,0.0015389577541907653,-0.1478453067485962,-0.05367456994151047,RTV,Hurda,RTV,0.2821031722664466,0.32336201541061665,0.2577239813317838,0.287729723002949,0.14786697335120497,0.09582990193747203,0.2616698820023889,0.1684555857636886,0.1609079547111617,0.037279679538018716,0.1697086041463079,0.12263207946516279,0.3012514354597937,0.5113818531174543,0.16771432002267242,0.3267825361999735,0.10787046421139314,0.03214654999643825,0.14318321249684704,0.09440007556822615,0.3267825361999735,23.464349276000533,3.5,RTV,1.0,1.0,0.09440007556822615,1.1357274208220198,0,0.287729723002949,0.008380501004172999,0,0.401421145752774,0,-0.5524251723467137,1.4411833414203081,1
